#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 02 09 13 50 326  0.2  0.9 99.00 99.00 99.00 999 1022.2   8.0   7.3  -2.9 99.0 99.00
2013 02 09 14 50 323  0.2  0.7 99.00 99.00 99.00 999 1022.9  10.0   9.3  -3.3 99.0 99.00
2013 02 09 15 50 324  0.2  0.9 99.00 99.00 99.00 999 1023.3  10.8  11.4  -4.9 99.0 99.00
2013 02 09 16 50 343  0.4  1.4 99.00 99.00 99.00 999 1023.2  13.2  13.7  -4.7 99.0 99.00
2013 02 09 17 50 319  0.3  1.0 99.00 99.00 99.00 999 1022.8  14.3  15.9  -5.1 99.0 99.00
2013 02 09 18 50 324  0.1  0.8 99.00 99.00 99.00 999 1022.9  14.4  16.9 999.0 99.0 99.00
2013 02 09 19 50 167  0.1  0.8 99.00 99.00 99.00 999 1022.8  14.9  15.7 999.0 99.0 99.00
2013 02 09 20 50 322  0.2  0.9 99.00 99.00 99.00 999 1023.1  13.7  17.2 999.0 99.0 99.00
2013 02 09 21 50 167  0.1  0.7 99.00 99.00 99.00 999 1023.5  13.2  18.1 999.0 99.0 99.00
2013 02 09 22 50 167  0.0  0.1 99.00 99.00 99.00 999 1024.4  11.4  16.0  -4.0 99.0 99.00
2013 02 09 23 50 167  0.0  0.0 99.00 99.00 99.00 999 1025.4   9.7  14.0  -1.9 99.0 99.00
2013 02 10 00 50 167  0.0  0.0 99.00 99.00 99.00 999 1026.0   8.5  12.6  -1.0 99.0 99.00
2013 02 10 01 50 167  0.0  0.3 99.00 99.00 99.00 999 1026.7   7.9  11.6  -0.7 99.0 99.00
2013 02 10 02 50 167  0.0  0.2 99.00 99.00 99.00 999 1027.5   7.5  10.7  -1.2 99.0 99.00
2013 02 10 03 50 167  0.0  0.2 99.00 99.00 99.00 999 1027.5   7.1   9.9   0.2 99.0 99.00
2013 02 10 04 50 167  0.0  0.0 99.00 99.00 99.00 999 1028.1   6.1   9.3   1.2 99.0 99.00
2013 02 10 05 50 167  0.0  0.0 99.00 99.00 99.00 999 1028.2   5.5   8.6   0.8 99.0 99.00
2013 02 10 06 50 167  0.0  0.0 99.00 99.00 99.00 999 1028.8   4.8   8.0  -0.4 99.0 99.00
2013 02 10 07 50 167  0.0  0.2 99.00 99.00 99.00 999 1028.9   4.6   7.4  -0.1 99.0 99.00
2013 02 10 08 50 167  0.0  0.1 99.00 99.00 99.00 999 1029.4   4.7   6.9  -0.3 99.0 99.00
2013 02 10 09 50 167  0.0  0.2 99.00 99.00 99.00 999 1029.5   4.7   6.4  -1.0 99.0 99.00
2013 02 10 10 50 167  0.1  0.8 99.00 99.00 99.00 999 1029.5   4.7   6.0  -1.1 99.0 99.00
2013 02 10 11 50 358  0.3  1.1 99.00 99.00 99.00 999 1029.9   4.4   5.6  -0.5 99.0 99.00
2013 02 10 12 50 342  0.1  0.9 99.00 99.00 99.00 999 1030.6   4.8   5.4  -1.2 99.0 99.00
2013 02 10 13 50 352  0.6  1.5 99.00 99.00 99.00 999 1031.1   7.0   6.3  -0.2 99.0 99.00
2013 02 10 14 50  30  1.8  4.7 99.00 99.00 99.00 999 1031.8   7.9   8.2   0.8 99.0 99.00
2013 02 10 15 50  60  1.5  3.9 99.00 99.00 99.00 999 1031.7   7.9   8.4   1.2 99.0 99.00
2013 02 10 16 50  85  1.3  2.2 99.00 99.00 99.00 999 1031.9   9.1   9.1   1.4 99.0 99.00
2013 02 10 17 50  94  1.5  2.9 99.00 99.00 99.00 999 1031.3   9.3   9.4   0.8 99.0 99.00
2013 02 10 19 50 100  1.6  3.0 99.00 99.00 99.00 999 1029.5  10.9  10.0   4.6 99.0 99.00
2013 02 10 20 50 104  1.5  2.3 99.00 99.00 99.00 999 1029.2  10.8  10.2   4.9 99.0 99.00
